Estado,Sorteo,Fecha,Venta_Estado,ID
Baja California,MI SUENO 10,2017/10/21 00:00:00,4630,2
Baja California Sur,MI SUENO 10,2017/10/21 00:00:00,3942,3
Coahuila de Zaragoza,MI SUENO 10,2017/10/21 00:00:00,12234,5
Colima,MI SUENO 10,2017/10/21 00:00:00,3824,6
Chiapas,MI SUENO 10,2017/10/21 00:00:00,983,7
Chihuahua,MI SUENO 10,2017/10/21 00:00:00,8227,8
Distrito Federal,MI SUENO 10,2017/10/21 00:00:00,16351,9
Durango,MI SUENO 10,2017/10/21 00:00:00,2146,10
Guanajuato,MI SUENO 10,2017/10/21 00:00:00,3794,11
Guerrero,MI SUENO 10,2017/10/21 00:00:00,803,12
Hidalgo,MI SUENO 10,2017/10/21 00:00:00,1186,13
Jalisco,MI SUENO 10,2017/10/21 00:00:00,27802,14
Estado de Mexico,MI SUENO 10,2017/10/21 00:00:00,2861,15
Michoacan de Ocampo,MI SUENO 10,2017/10/21 00:00:00,3817,16
Morelos,MI SUENO 10,2017/10/21 00:00:00,942,17
Nayarit,MI SUENO 10,2017/10/21 00:00:00,2365,18
Nuevo Leon,MI SUENO 10,2017/10/21 00:00:00,91076,19
Oaxaca,MI SUENO 10,2017/10/21 00:00:00,888,20
Puebla,MI SUENO 10,2017/10/21 00:00:00,2837,21
Queretaro,MI SUENO 10,2017/10/21 00:00:00,6381,22
Quintana Roo,MI SUENO 10,2017/10/21 00:00:00,1155,23
San Luis Potosi,MI SUENO 10,2017/10/21 00:00:00,2977,24
Sinaloa,MI SUENO 10,2017/10/21 00:00:00,10402,25
Sonora,MI SUENO 10,2017/10/21 00:00:00,10493,26
Tabasco,MI SUENO 10,2017/10/21 00:00:00,3723,27
Tamaulipas,MI SUENO 10,2017/10/21 00:00:00,17215,28
Veracruz de Ignacio de la Llave,MI SUENO 10,2017/10/21 00:00:00,4422,30
Yucatan,MI SUENO 10,2017/10/21 00:00:00,1527,31
Zacatecas,MI SUENO 10,2017/10/21 00:00:00,2246,32
Oficina Virtual,MI SUENO 10,2017/10/21 00:00:00,26705,33
Aguascalientes,MI SUENO 11,2018/03/24 00:00:00,3036,1
Baja California,MI SUENO 11,2018/03/24 00:00:00,4376,2
Baja California Sur,MI SUENO 11,2018/03/24 00:00:00,4090,3
Coahuila de Zaragoza,MI SUENO 11,2018/03/24 00:00:00,12715,5
Colima,MI SUENO 11,2018/03/24 00:00:00,4271,6
Chiapas,MI SUENO 11,2018/03/24 00:00:00,1243,7
Chihuahua,MI SUENO 11,2018/03/24 00:00:00,8136,8
Distrito Federal,MI SUENO 11,2018/03/24 00:00:00,16889,9
Durango,MI SUENO 11,2018/03/24 00:00:00,2221,10
Guanajuato,MI SUENO 11,2018/03/24 00:00:00,4199,11
Guerrero,MI SUENO 11,2018/03/24 00:00:00,813,12
Hidalgo,MI SUENO 11,2018/03/24 00:00:00,1414,13
Jalisco,MI SUENO 11,2018/03/24 00:00:00,29084,14
Estado de Mexico,MI SUENO 11,2018/03/24 00:00:00,2935,15
Michoacan de Ocampo,MI SUENO 11,2018/03/24 00:00:00,4197,16
Morelos,MI SUENO 11,2018/03/24 00:00:00,1050,17
Nayarit,MI SUENO 11,2018/03/24 00:00:00,2594,18
Nuevo Leon,MI SUENO 11,2018/03/24 00:00:00,94118,19
Oaxaca,MI SUENO 11,2018/03/24 00:00:00,797,20
Puebla,MI SUENO 11,2018/03/24 00:00:00,3327,21
Queretaro,MI SUENO 11,2018/03/24 00:00:00,7123,22
Quintana Roo,MI SUENO 11,2018/03/24 00:00:00,1411,23
San Luis Potosi,MI SUENO 11,2018/03/24 00:00:00,3389,24
Sinaloa,MI SUENO 11,2018/03/24 00:00:00,11758,25
Sonora,MI SUENO 11,2018/03/24 00:00:00,12007,26
Tabasco,MI SUENO 11,2018/03/24 00:00:00,3931,27
Tamaulipas,MI SUENO 11,2018/03/24 00:00:00,19395,28
Veracruz de Ignacio de la Llave,MI SUENO 11,2018/03/24 00:00:00,4897,30
Yucatan,MI SUENO 11,2018/03/24 00:00:00,1990,31
Zacatecas,MI SUENO 11,2018/03/24 00:00:00,2289,32
Oficina Virtual,MI SUENO 11,2018/03/24 00:00:00,32257,33
Aguascalientes,MI SUENO 12,2018/07/21 00:00:00,2407,1
Baja California,MI SUENO 12,2018/07/21 00:00:00,3938,2
Baja California Sur,MI SUENO 12,2018/07/21 00:00:00,3622,3
Coahuila de Zaragoza,MI SUENO 12,2018/07/21 00:00:00,10420,5
Colima,MI SUENO 12,2018/07/21 00:00:00,4315,6
Chiapas,MI SUENO 12,2018/07/21 00:00:00,0,7
Chihuahua,MI SUENO 12,2018/07/21 00:00:00,6646,8
Distrito Federal,MI SUENO 12,2018/07/21 00:00:00,11481,9
Durango,MI SUENO 12,2018/07/21 00:00:00,2068,10
Guanajuato,MI SUENO 12,2018/07/21 00:00:00,3532,11
Guerrero,MI SUENO 12,2018/07/21 00:00:00,608,12
Hidalgo,MI SUENO 12,2018/07/21 00:00:00,1053,13
Jalisco,MI SUENO 12,2018/07/21 00:00:00,25461,14
Estado de Mexico,MI SUENO 12,2018/07/21 00:00:00,2072,15
Michoacan de Ocampo,MI SUENO 12,2018/07/21 00:00:00,3083,16
Morelos,MI SUENO 12,2018/07/21 00:00:00,932,17
Nayarit,MI SUENO 12,2018/07/21 00:00:00,2578,18
Nuevo Leon,MI SUENO 12,2018/07/21 00:00:00,81628,19
Oaxaca,MI SUENO 12,2018/07/21 00:00:00,740,20
Puebla,MI SUENO 12,2018/07/21 00:00:00,2397,21
Queretaro,MI SUENO 12,2018/07/21 00:00:00,5534,22
Quintana Roo,MI SUENO 12,2018/07/21 00:00:00,964,23
San Luis Potosi,MI SUENO 12,2018/07/21 00:00:00,3166,24
Sinaloa,MI SUENO 12,2018/07/21 00:00:00,9698,25
Sonora,MI SUENO 12,2018/07/21 00:00:00,10508,26
Tabasco,MI SUENO 12,2018/07/21 00:00:00,4848,27
Tamaulipas,MI SUENO 12,2018/07/21 00:00:00,17314,28
Veracruz de Ignacio de la Llave,MI SUENO 12,2018/07/21 00:00:00,3537,30
Yucatan,MI SUENO 12,2018/07/21 00:00:00,1469,31
Zacatecas,MI SUENO 12,2018/07/21 00:00:00,2413,32
Oficina Virtual,MI SUENO 12,2018/07/21 00:00:00,27513,33
Aguascalientes,MI SUENO 13,2018/10/20 00:00:00,2981.36,1
Baja California,MI SUENO 13,2018/10/20 00:00:00,3727.56,2
Baja California Sur,MI SUENO 13,2018/10/20 00:00:00,3885.66,3
Coahuila de Zaragoza,MI SUENO 13,2018/10/20 00:00:00,12244.26,5
Colima,MI SUENO 13,2018/10/20 00:00:00,4560.32,6
Chiapas,MI SUENO 13,2018/10/20 00:00:00,233,7
Chihuahua,MI SUENO 13,2018/10/20 00:00:00,8397.720000000001,8
Distrito Federal,MI SUENO 13,2018/10/20 00:00:00,17217.629999999997,9
Durango,MI SUENO 13,2018/10/20 00:00:00,2262,10
Guanajuato,MI SUENO 13,2018/10/20 00:00:00,4610.610000000001,11
Guerrero,MI SUENO 13,2018/10/20 00:00:00,849.49,12
Hidalgo,MI SUENO 13,2018/10/20 00:00:00,345,13
Jalisco,MI SUENO 13,2018/10/20 00:00:00,27981.31,14
Estado de Mexico,MI SUENO 13,2018/10/20 00:00:00,3027.87,15
Michoacan de Ocampo,MI SUENO 13,2018/10/20 00:00:00,3816.01,16
Morelos,MI SUENO 13,2018/10/20 00:00:00,1421,17
Nayarit,MI SUENO 13,2018/10/20 00:00:00,2752.28,18
Nuevo Leon,MI SUENO 13,2018/10/20 00:00:00,86195.65,19
Oaxaca,MI SUENO 13,2018/10/20 00:00:00,162,20
Puebla,MI SUENO 13,2018/10/20 00:00:00,5003.23,21
Queretaro,MI SUENO 13,2018/10/20 00:00:00,6849.360000000001,22
Quintana Roo,MI SUENO 13,2018/10/20 00:00:00,1386.16,23
San Luis Potosi,MI SUENO 13,2018/10/20 00:00:00,3325.58,24
Sinaloa,MI SUENO 13,2018/10/20 00:00:00,10477.539999999999,25
Sonora,MI SUENO 13,2018/10/20 00:00:00,11413.74,26
Tabasco,MI SUENO 13,2018/10/20 00:00:00,5653.592000000001,27
Tamaulipas,MI SUENO 13,2018/10/20 00:00:00,19075.55,28
Veracruz de Ignacio de la Llave,MI SUENO 13,2018/10/20 00:00:00,3940.77,30
Yucatan,MI SUENO 13,2018/10/20 00:00:00,1904.62,31
Zacatecas,MI SUENO 13,2018/10/20 00:00:00,2454.796,32
Oficina Virtual,MI SUENO 13,2018/10/20 00:00:00,26469.4878,33
Aguascalientes,MI SUENO 14,2019/03/23 00:00:00,2446.6272727272726,1
Baja California,MI SUENO 14,2019/03/23 00:00:00,3601.0272727272727,2
Baja California Sur,MI SUENO 14,2019/03/23 00:00:00,3928.9454545454546,3
Coahuila de Zaragoza,MI SUENO 14,2019/03/23 00:00:00,11329.345454545455,5
Colima,MI SUENO 14,2019/03/23 00:00:00,4200.145454545454,6
Chiapas,MI SUENO 14,2019/03/23 00:00:00,0,7
Chihuahua,MI SUENO 14,2019/03/23 00:00:00,7233.345454545454,8
Distrito Federal,MI SUENO 14,2019/03/23 00:00:00,11879.945454545454,9
Durango,MI SUENO 14,2019/03/23 00:00:00,2052.5454545454545,10
Guanajuato,MI SUENO 14,2019/03/23 00:00:00,3536.836363636364,11
Guerrero,MI SUENO 14,2019/03/23 00:00:00,623.7272727272727,12
Hidalgo,MI SUENO 14,2019/03/23 00:00:00,0,13
Jalisco,MI SUENO 14,2019/03/23 00:00:00,24213.00909090909,14
Estado de Mexico,MI SUENO 14,2019/03/23 00:00:00,2281.2727272727275,15
Michoacan de Ocampo,MI SUENO 14,2019/03/23 00:00:00,3154.5545454545454,16
Morelos,MI SUENO 14,2019/03/23 00:00:00,1009.0636363636364,17
Nayarit,MI SUENO 14,2019/03/23 00:00:00,3000.181818181818,18
Nuevo Leon,MI SUENO 14,2019/03/23 00:00:00,83821.46363636364,19
Oaxaca,MI SUENO 14,2019/03/23 00:00:00,0,20
Puebla,MI SUENO 14,2019/03/23 00:00:00,3926.3818181818183,21
Queretaro,MI SUENO 14,2019/03/23 00:00:00,5600.227272727273,22
Quintana Roo,MI SUENO 14,2019/03/23 00:00:00,1109.5727272727272,23
San Luis Potosi,MI SUENO 14,2019/03/23 00:00:00,2812.7818181818184,24
Sinaloa,MI SUENO 14,2019/03/23 00:00:00,10386.272727272728,25
Sonora,MI SUENO 14,2019/03/23 00:00:00,10981.627272727274,26
Tabasco,MI SUENO 14,2019/03/23 00:00:00,5105.001818181818,27
Tamaulipas,MI SUENO 14,2019/03/23 00:00:00,17558.81818181818,28
Veracruz de Ignacio de la Llave,MI SUENO 14,2019/03/23 00:00:00,3570.181818181818,30
Yucatan,MI SUENO 14,2019/03/23 00:00:00,1422.9454545454546,31
Zacatecas,MI SUENO 14,2019/03/23 00:00:00,2105.570909090909,32
Oficina Virtual,MI SUENO 14,2019/03/23 00:00:00,25372,33
Aguascalientes,MI SUENO 15,2019/07/20 00:00:00,2398.109090909091,1
Baja California,MI SUENO 15,2019/07/20 00:00:00,3146.763636363636,2
Baja California Sur,MI SUENO 15,2019/07/20 00:00:00,3766.2363636363634,3
Coahuila de Zaragoza,MI SUENO 15,2019/07/20 00:00:00,10341.50909090909,5
Colima,MI SUENO 15,2019/07/20 00:00:00,4028.327272727273,6
Chiapas,MI SUENO 15,2019/07/20 00:00:00,0,7
Chihuahua,MI SUENO 15,2019/07/20 00:00:00,6710.436363636363,8
