Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,TRADICIONAL 204,2017/12/22 00:00:00,3621,1
Baja California,TRADICIONAL 204,2017/12/22 00:00:00,4552,2
Baja California Sur,TRADICIONAL 204,2017/12/22 00:00:00,3604,3
Coahuila de Zaragoza,TRADICIONAL 204,2017/12/22 00:00:00,15799,5
Colima,TRADICIONAL 204,2017/12/22 00:00:00,4395,6
Chiapas,TRADICIONAL 204,2017/12/22 00:00:00,1477,7
Chihuahua,TRADICIONAL 204,2017/12/22 00:00:00,9845,8
Durango,TRADICIONAL 204,2017/12/22 00:00:00,2744,10
Guanajuato,TRADICIONAL 204,2017/12/22 00:00:00,5017,11
Guerrero,TRADICIONAL 204,2017/12/22 00:00:00,1103,12
Hidalgo,TRADICIONAL 204,2017/12/22 00:00:00,1679,13
Jalisco,TRADICIONAL 204,2017/12/22 00:00:00,22062,14
Mexico,TRADICIONAL 204,2017/12/22 00:00:00,17347,15
Michoacan de Ocampo,TRADICIONAL 204,2017/12/22 00:00:00,5583,16
Morelos,TRADICIONAL 204,2017/12/22 00:00:00,1496,17
Nayarit,TRADICIONAL 204,2017/12/22 00:00:00,3149,18
Nuevo Leon,TRADICIONAL 204,2017/12/22 00:00:00,84793,19
Oaxaca,TRADICIONAL 204,2017/12/22 00:00:00,1064,20
Puebla,TRADICIONAL 204,2017/12/22 00:00:00,2437,21
Queretaro,TRADICIONAL 204,2017/12/22 00:00:00,8641,22
Quintana Roo,TRADICIONAL 204,2017/12/22 00:00:00,1238,23
San Luis Potosi,TRADICIONAL 204,2017/12/22 00:00:00,3938,24
Sinaloa,TRADICIONAL 204,2017/12/22 00:00:00,14095,25
Sonora,TRADICIONAL 204,2017/12/22 00:00:00,12157,26
Tabasco,TRADICIONAL 204,2017/12/22 00:00:00,5372,27
Tamaulipas,TRADICIONAL 204,2017/12/22 00:00:00,22450,28
Veracruz de Ignacio de la Llave,TRADICIONAL 204,2017/12/22 00:00:00,5037,30
Yucatan,TRADICIONAL 204,2017/12/22 00:00:00,1933,31
Zacatecas,TRADICIONAL 204,2017/12/22 00:00:00,3047,32
