Estado,Sorteo,Fecha,Venta_Estado,ID
Puebla,AVENTURATE 12,2018/09/06 00:00:00,1951,21
Queretaro,AVENTURATE 12,2018/09/06 00:00:00,4494,22
Quintana Roo,AVENTURATE 12,2018/09/06 00:00:00,1191,23
San Luis Potosi,AVENTURATE 12,2018/09/06 00:00:00,3383,24
Sinaloa,AVENTURATE 12,2018/09/06 00:00:00,6628,25
Sonora,AVENTURATE 12,2018/09/06 00:00:00,6691,26
Tabasco,AVENTURATE 12,2018/09/06 00:00:00,4260,27
Tamaulipas,AVENTURATE 12,2018/09/06 00:00:00,17153,28
Veracruz de Ignacio de la Llave,AVENTURATE 12,2018/09/06 00:00:00,2949,30
Yucatan,AVENTURATE 12,2018/09/06 00:00:00,2027,31
Zacatecas,AVENTURATE 12,2018/09/06 00:00:00,2948,32
Oficina Virtual,AVENTURATE 12,2018/09/06 00:00:00,16910,33
Aguascalientes,AVENTURATE 13,2019/01/18 00:00:00,1432,1
Baja California,AVENTURATE 13,2019/01/18 00:00:00,4045,2
Baja California Sur,AVENTURATE 13,2019/01/18 00:00:00,3440,3
Coahuila de Zaragoza,AVENTURATE 13,2019/01/18 00:00:00,11039.5,5
Colima,AVENTURATE 13,2019/01/18 00:00:00,3111,6
Chiapas,AVENTURATE 13,2019/01/18 00:00:00,0,7
Chihuahua,AVENTURATE 13,2019/01/18 00:00:00,6399,8
Durango,AVENTURATE 13,2019/01/18 00:00:00,4085,10
Guanajuato,AVENTURATE 13,2019/01/18 00:00:00,4380,11
Guerrero,AVENTURATE 13,2019/01/18 00:00:00,1495,12
Hidalgo,AVENTURATE 13,2019/01/18 00:00:00,0,13
Jalisco,AVENTURATE 13,2019/01/18 00:00:00,17391.25,14
Mexico,AVENTURATE 13,2019/01/18 00:00:00,9357,15
Michoacan de Ocampo,AVENTURATE 13,2019/01/18 00:00:00,3259.25,16
Morelos,AVENTURATE 13,2019/01/18 00:00:00,1037,17
Nayarit,AVENTURATE 13,2019/01/18 00:00:00,1973,18
Nuevo Leon,AVENTURATE 13,2019/01/18 00:00:00,41198.5,19
Oaxaca,AVENTURATE 13,2019/01/18 00:00:00,0,20
Puebla,AVENTURATE 13,2019/01/18 00:00:00,4190,21
Queretaro,AVENTURATE 13,2019/01/18 00:00:00,5123,22
Quintana Roo,AVENTURATE 13,2019/01/18 00:00:00,1472.25,23
San Luis Potosi,AVENTURATE 13,2019/01/18 00:00:00,3770,24
Sinaloa,AVENTURATE 13,2019/01/18 00:00:00,10333.75,25
Sonora,AVENTURATE 13,2019/01/18 00:00:00,8057.25,26
Tabasco,AVENTURATE 13,2019/01/18 00:00:00,5378,27
Tamaulipas,AVENTURATE 13,2019/01/18 00:00:00,19488,28
Veracruz de Ignacio de la Llave,AVENTURATE 13,2019/01/18 00:00:00,3260,30
Yucatan,AVENTURATE 13,2019/01/18 00:00:00,2091,31
Zacatecas,AVENTURATE 13,2019/01/18 00:00:00,3301,32
Oficina Virtual,AVENTURATE 13,2019/01/18 00:00:00,18628,33
Aguascalientes,AVENTURATE 14,2019/04/27 00:00:00,1687,1
Baja California,AVENTURATE 14,2019/04/27 00:00:00,3806,2
Baja California Sur,AVENTURATE 14,2019/04/27 00:00:00,3483,3
Coahuila de Zaragoza,AVENTURATE 14,2019/04/27 00:00:00,13354,5
Colima,AVENTURATE 14,2019/04/27 00:00:00,3324,6
Chiapas,AVENTURATE 14,2019/04/27 00:00:00,0,7
Chihuahua,AVENTURATE 14,2019/04/27 00:00:00,6474,8
Durango,AVENTURATE 14,2019/04/27 00:00:00,4372,10
Guanajuato,AVENTURATE 14,2019/04/27 00:00:00,4545,11
Guerrero,AVENTURATE 14,2019/04/27 00:00:00,1200,12
Hidalgo,AVENTURATE 14,2019/04/27 00:00:00,0,13
Jalisco,AVENTURATE 14,2019/04/27 00:00:00,17398,14
Mexico,AVENTURATE 14,2019/04/27 00:00:00,7751,15
Michoacan de Ocampo,AVENTURATE 14,2019/04/27 00:00:00,3710,16
Morelos,AVENTURATE 14,2019/04/27 00:00:00,1342,17
Nayarit,AVENTURATE 14,2019/04/27 00:00:00,2151,18
Nuevo Leon,AVENTURATE 14,2019/04/27 00:00:00,35143,19
Oaxaca,AVENTURATE 14,2019/04/27 00:00:00,0,20
Puebla,AVENTURATE 14,2019/04/27 00:00:00,5286,21
Queretaro,AVENTURATE 14,2019/04/27 00:00:00,4547,22
Quintana Roo,AVENTURATE 14,2019/04/27 00:00:00,1468,23
San Luis Potosi,AVENTURATE 14,2019/04/27 00:00:00,4315,24
