Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,0.045077040075,0.047049851026,0.047481494926,0.047947311725,0.045677361135,0.04491618805,0.04622685812,0.051520768237,0.040020481444,0.036358399519,0.03480983215,0.030762687344,0.033307205408,0.024480085484,0.024947780903,0.026428567094
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,0.226446722444,0.212515696989,0.19733461654,0.179404673284,0.162967774707,0.169234590944,0.162396382326,0.20988831398,0.257271112348,0.242453390004,0.204407132139,0.181875171424,0.202464938742,0.203588659584,0.175955292545,0.177067329614
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,0.174071902692,0.192213030609,0.273930574553,0.251367000909,0.236202210938,0.272305102494,0.255404731912,0.240598560511,0.234583060687,0.173714930378,0.14442733243,0.136744397828,0.169286721283,0.136840061277,0.129587939197,0.115706841887
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,0.574767694237,0.623728769358,0.445978841127,0.424216108397,0.408965362366,0.402963928855,0.311392613697,0.347496562416,0.353542679627,0.289286684296,0.184779567154,0.139633168586,0.121955484581,0.136791642605,0.133191054527,0.131253003414
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",0.023597089333,0.114287314089,0.103080699306,0.109766779715,0.104377387978,0.31275411644,0.32895382285,0.262690911809,0.245360254775,0.275887124681,0.293754993167,0.240186295087,0.220076512925,0.280421187509,0.31858366467,0.301779789912
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",0.06686850842,0.071349918299,0.080859183877,0.072698536275,0.061554539443,0.060348013761,0.065334238537,0.068207725864,0.061898935913,0.058337565059,0.056184232918,0.052523977811,0.050719529913,0.045438453657,0.046155907369,0.045276912036
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,0.034982983905,0.037526891556,0.041139397069,0.045009370461,0.03982644873,0.04278582603,0.045148985767,0.046366618045,0.042003539736,0.035865801135,0.03431323638,0.038955185721,0.029644157378,0.036179617741,0.042869486914,0.051354039497
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,64.851777414619,66.588094875758,68.611316878092,68.093227176825,66.770785217985,67.232212765866,67.593181672507,67.699568853995,66.18984765348,67.275756100138,67.448184442582,68.815466753962,68.949897042972,70.339037523947,71.689583270318,72.567663495633
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,6.464848043633,6.474920638686,6.843693482499,7.14192427708,6.852152370864,6.721370698735,6.801965808947,7.430611246844,7.993164452648,8.328389585768,7.894645479076,8.202146466589,8.039273579718,9.700679028402,10.294429517328,10.585351506972
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,8.80333391749,9.576734100165,10.079331015184,10.185482530658,10.683350710216,10.888275215719,9.882625717982,10.554866587396,10.701734399383,10.380368898535,11.090802580364,11.662805261272,11.21393443186,11.731465853468,12.679409305273,12.914283421389
