Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2.282070360865,1.985126327151,2.056358004767,2.206250420599,2.167275114284,2.104488160126,2.270240944468,2.266498879512,2.299155790096,2.266205054659,2.280860376195,2.171056068286,2.033359024513,1.949838882465,1.903381499827,1.860443600524
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",1.689803763382,1.623464407292,1.52832940408,1.598365864817,1.601770143542,1.567524501612,1.613184592986,1.633335968587,1.546401591363,1.594021165587,1.585061360329,1.406170235856,1.390274274474,1.384252638078,1.384123931398,1.369142758616
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,22.450255842941,22.416626454787,19.560817148096,18.240413608911,21.298059680096,21.785133056368,20.187778597181,22.295862827319,21.945654118793,23.424718936483,23.496212259075,23.930023091776,24.673540253741,23.820368018809,23.740377552707,23.15377045981
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,1.890969904118,1.888424750916,1.975366648277,2.033064386802,1.839260614349,1.785329688616,1.931448417575,1.863141089425,1.845940281368,1.867246492396,1.79011997048,1.789349259526,1.766114545597,1.742838093338,1.70200942151,1.652565599641
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",4.5581254556,4.274605358137,4.338979593951,4.323283150456,4.220679423779,4.177251637869,4.834514239986,4.82949300623,4.566114171447,4.51482166989,4.290158290708,3.680346827127,3.686626259318,3.48123504501,3.463952648044,3.504294900254
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,64.025974354004,69.667395112786,72.659353742192,77.401543792261,85.631596841707,90.121266687006,82.420893964912,86.627832217213,91.468641865904,95.755012746398,100,103.723874321602,108.984493445004,116.915303799373,121.888406905575,128.098834555903
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,76.624652243493,83.23325049629,88.683729313254,99.597109978674,80.59891131824,67.549122737026,80.216423348633,97.469943586307,100.497274760592,95.378026283297,100,97.68234712475,99.523076791,98.674725140428,107.018507791917,122.280201980312
"Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",76.624652243493,83.23325049629,88.683729313254,99.597109978674,80.59891131824,67.549122737026,80.216423348633,97.469943586307,100.497274760592,95.378026283297,100,97.68234712475,99.523076791,98.674725140428,107.018507791917,122.280201980312
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,71.021578432534,80.113527686249,98.97525515488,109.305963732231,109.338773999745,115.157774445681,104.104019263658,91.028061983184,94.519609836109,92.611064168586,100,110.338570638104,104.710112317565,130.59765281964,117.502203280705,124.491406508538
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,212.754444871369,290.997388965541,240.313411460607,309.865496795152,227.741040396807,236.39194770945,229.777363466476,198.709328117086,141.461742669019,99.542414027979,100,151.116894004227,156.881473007667,141.242446338439,138.643855773093,167.155653457219
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,212.754444871369,290.997388965541,240.313411460607,309.865496795152,227.741040396807,236.39194770945,229.777363466476,198.709328117086,141.461742669019,99.542414027979,100,151.116894004227,156.881473007667,141.242446338439,138.643855773093,167.155653457219
