Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,0.038789729942,0.034125457234,0.033244766661,0.033375758011,0.034046256921,0.030236164589,0.033317391187,0.031598549545,0.033066161318,0.032921555785,0.031396118668,0.030373952139,0.027587040363,0.034050555642,0.036710656737,0.045484159948
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,74.83573657704,67.92075688533,67.727771821747,69.48335344331,69.167141640239,68.264327155301,70.319820407245,71.702154622454,71.654849213776,71.22551758767,72.08787296425,70.866902831641,72.530425433718,72.408370384221,74.223069742797,75.527711550403
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,5.222186143506,4.831382280605,4.968764375994,5.243943416388,5.532894168761,5.433329918369,5.537193920921,5.917429970184,6.117751242848,6.526149576383,6.184640694509,6.349447317895,6.599030180569,6.339080670089,6.977655486954,7.032405043179
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,10.51893881201,9.27668349359,9.168842393186,9.693450264907,10.287313451884,10.311143562876,9.464390853176,10.617523748306,10.87991598361,10.46727597355,10.92814115996,10.681621815111,10.578007903544,10.677302264227,11.472744280182,11.336970466114
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",5.290170989114,4.796896553939,4.790289497223,4.770234635127,4.912589518683,4.591457225441,4.326108148544,4.167153187588,4.355574784597,4.40562836878,4.367464032868,4.287057889528,4.308150748757,4.264324519157,4.185305158557,4.239852018444
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,0.22126478723,0.219085251281,0.239111959501,0.285510779569,0.358464151229,0.369760213582,0.436523603772,0.443325635514,0.44969840372,0.562932314293,0.586524079491,0.592728150602,0.69522684228,0.868469639995,0.861480472753,0.961744582699
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,0.930028483206,1.130638277036,0.967513548572,1.024310595731,1.256351821619,1.483526428005,1.836416166525,1.9153932397,2.041824290079,2.385327182527,2.587679005041,2.610030257083,2.691012073833,2.8226443464,2.943369685828,3.20167627524
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,15.872780880822,14.360759674483,14.154658974885,14.507332375515,15.175553984697,14.726193318764,15.800275664384,15.54370888617,15.590027264018,16.015222308349,15.745704041629,15.19987829553,14.892627805867,14.558768164293,14.47302983401,14.811799177394
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",0.697805180083,0.74018218031,0.720837601508,0.721844484071,0.815133624468,0.805446863959,0.819089973046,0.71494287728,0.692704253727,0.682384436907,0.752317973945,0.773164380371,0.690807588693,0.681631064561,0.74299668628,0.76745737824
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0.007973174394,0.007184670266,0.007359046482,0.007560296539,0.007901803317,0.007850008276,0.008156838561,0.00803181359,0.008197278047,0.0087083145,0.008154209397,0.007849510003,0.007835753553,0.008241514474,0.008263002148,0.00845654922
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",2.297352995451,2.064039974852,1.996024209502,1.952118910358,1.932438141773,1.84652318189,1.879403748322,1.827222252186,1.84620476453,1.913001815135,1.891089503603,1.753258573942,1.769673865004,1.740959775494,1.812911552687,1.859205937918
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,8.649237300433,7.652186037794,7.168680589433,7.040025965409,7.162294226417,6.598464039464,7.168975440349,6.843367997348,6.429359025486,6.117212960789,5.861999376053,5.995907290926,5.753361570481,5.780923601061,5.740664822337,5.738567130372
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,3.739611944499,3.410897462002,3.144858548392,3.260911703407,3.274411739977,3.139350160525,3.303951696468,3.035831235541,3.026053739985,3.110651010695,2.942961285966,2.640238561407,2.418606044686,2.482396963941,2.591691281608,2.644501544306
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",0.73874456614,0.582827312088,0.52463808873,0.465592963508,0.429261865544,0.385190627725,0.420490455687,0.406861365437,0.352934774492,0.334258205672,0.367289716136,0.350402785475,0.338290946073,0.345241252289,0.296334052651,0.31919134163
