Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",2.010395576027,2.091242397787,2.149937918296,2.075523005459,2.156309853085,2.314583500895,2.429900173813,2.208464306834,2.324262707159,2.148359820755,2.148377391148,1.986768849594,1.900279416942,1.929784241125,1.970301262403,1.99920911922
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,6.512004132038,6.466998602193,6.175789294473,5.880260845246,5.707944259054,5.687437167952,6.424828023654,5.997421866143,5.813905049093,5.662030062611,5.888792906574,5.805563210414,5.505386331131,5.153607877548,5.078485620613,5.061432556012
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,2.225834667573,2.162246182012,2.203222138995,2.358541795541,2.28448653895,2.359562974623,2.712920597131,2.5877183426,2.580088743881,2.416261802842,2.562369677254,2.491710275709,2.251557324196,2.368409571297,2.198311289293,2.201920600109
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",0.285542883379,0.276221990561,0.255186323886,0.265547467435,0.260047512646,0.259034132309,0.283629792237,0.262160917224,0.25063989447,0.249453070873,0.267100538272,0.260354444717,0.26347914609,0.256377307552,0.233878926701,0.233864683548
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,2.030094633931,1.946082144049,1.519668300448,1.428842341982,1.346914089898,1.397584364292,1.455929371794,1.348440991196,1.330110695699,1.374080874095,1.61573777786,1.794644016052,1.90719909263,1.868745847848,1.850937736381,1.947568123442
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,2.149239961648,2.069179267083,2.057063973766,2.036327019305,2.028675008902,2.108873735195,2.397210629032,2.14186315387,2.131619798637,2.05349616558,2.159470559191,2.077089312005,2.069394192311,2.047165252049,1.995653758558,1.909955824874
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",3.957961033389,3.921697585504,3.600630674121,3.400487542746,3.245028438337,3.209228517137,3.564599887952,3.36490045787,3.414313149396,3.282489250086,3.49588262765,3.430069457745,3.180270748513,3.147622648548,2.948070902439,2.987394403139
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,76.245021740555,78.170984020452,82.460068413005,86.123403916332,89.708783732496,90.315564540753,83.307314755317,90.507833473872,95.011461723828,100.957045827069,100,100.972739033511,103.888388617006,106.512202104495,113.103857614426,115.774705849393
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,84.542312439166,86.40191363531,87.41921649814,91.19053706059,96.171160560886,95.956944557961,90.079551324812,94.503081580918,89.288045779598,99.754394081078,100,99.39593233032,108.558970237644,108.087007996427,108.461243596973,110.702185162817
"Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",84.542312439166,86.40191363531,87.41921649814,91.19053706059,96.171160560886,95.956944557961,90.079551324812,94.503081580918,89.288045779598,99.754394081078,100,99.39593233032,108.558970237644,108.087007996427,108.461243596973,110.702185162817
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,74.276541938374,75.089490446651,85.18720357942,89.738076262898,94.537830037582,94.760655242701,81.170683500484,91.855038717676,98.100589404368,107.880051766313,100,100.548390355714,103.182192233651,105.760299242645,119.795511567553,121.677135184586
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,28.651724470327,40.815025030819,41.68415858528,49.094818159775,46.802021489687,50.074113644886,45.464629663208,53.009961794507,75.949597795572,95.998856850215,100,74.699725720488,68.830857570416,67.792901345579,58.601017369337,49.780045581611
